Time (msec);Timing Advance (degrees);PLX Engine Speed (rpm);PLX Manifold Absolute Pressure (bar);PLX O2 - Wideband (Lambda)
149560;35,50;2326;0,63;0,97
149761;36,00;2444;0,61;0,96
149934;37,50;2600;0,58;0,98
150132;39,50;2717;0,55;0,98
150329;42,00;2835;0,46;0,96
150526;40,50;2737;0,24;0,94
150727;33,00;2444;0,18;0,89
150901;21,50;2111;0,22;0,87
151097;19,50;1760;0,24;0,93
151297;17,00;1408;0,26;1,21
151496;22,00;1466;0,39;1,36
151694;34,00;1838;0,49;1,36
151866;29,50;1662;0,57;0,99
152066;30,50;1681;0,68;0,98
152244;31,00;1740;0,71;0,93
152441;33,00;1818;0,70;0,96
152637;34,00;1877;0,69;1,03
152817;35,00;1916;0,64;1,01
153012;35,50;1955;0,61;0,98
153214;36,50;1994;0,55;1,00
153412;36,50;2033;0,50;1,01
153611;37,50;2072;0,45;0,99
153782;37,50;2111;0,45;0,98
153980;38,00;2131;0,47;0,96
154176;38,50;2190;0,43;0,96
154374;37,50;2190;0,42;0,97
154571;37,00;2190;0,41;0,97
154767;36,00;2190;0,40;0,97
154965;36,00;2209;0,38;0,98
155162;36,00;2248;0,36;0,98
155356;33,00;2229;0,32;0,98
155556;31,50;2248;0,31;0,98
155755;31,00;2209;0,30;1,02
155964;31,00;2229;0,28;0,99
156164;30,50;2229;0,28;0,98
156340;30,50;2229;0,27;0,98
156537;30,50;2229;0,26;1,00
156735;30,00;2190;0,26;1,02
156933;30,50;2190;0,25;1,01
157131;30,00;2170;0,26;0,99
157329;30,00;2170;0,26;0,99
157531;30,00;2190;0,27;0,99
157732;29,50;2170;0,27;0,97
157937;29,50;2150;0,28;0,97
158138;30,00;2170;0,30;0,99
158342;30,00;2170;0,31;0,98
158540;31,00;2150;0,32;0,96
158738;31,50;2190;0,34;0,95
158935;32,00;2190;0,33;0,97
159132;32,00;2209;0,33;0,97
159358;32,50;2229;0,34;0,98
159556;32,50;2229;0,33;0,98
159753;31,50;2229;0,30;0,98
159952;31,00;2248;0,29;0,99
160151;31,00;2248;0,30;1,01
160349;31,00;2268;0,30;0,99
160551;30,50;2111;0,23;0,98
160752;19,00;1779;0,23;0,97
160952;17,50;1525;0,26;1,27
161151;22,00;1427;0,32;1,36
161325;32,50;1760;0,40;1,34
161523;27,50;1779;0,26;0,89
161720;18,00;1623;0,23;0,94
161919;17,00;1447;0,23;1,00
162096;15,50;1251;0,25;1,01
162293;15,00;1095;0,27;0,98
162490;14,00;997;0,29;0,95
162691;14,00;938;0,31;0,94
162864;19,00;899;0,33;0,93
163064;19,00;919;0,35;0,91
163263;19,00;958;0,34;0,90
163462;19,00;919;0,34;0,90
163648;19,00;899;0,35;0,89
163846;19,00;919;0,35;0,92
164041;19,00;919;0,35;0,95
164241;19,00;899;0,35;0,95
164442;19,00;880;0,36;0,97
164616;18,00;899;0,36;0,97
164815;19,00;880;0,36;0,99
165015;17,00;860;0,36;0,99
165213;16,00;880;0,37;0,98
165411;16,00;880;0,36;0,99
165597;15,00;880;0,37;0,99
165818;15,00;860;0,36;0,99
165993;14,00;880;0,36;0,99
166194;17,00;880;0,37;0,99
166374;17,00;860;0,37;0,99
166573;13,00;841;0,37;0,98
166772;18,50;880;0,38;0,99
166971;18,00;860;0,37;0,99
167170;9,50;860;0,37;0,98
167371;10,50;880;0,37;0,99
167569;15,50;880;0,37;1,01
167770;14,00;860;0,37;0,99
167943;13,50;860;0,37;0,99
168143;14,00;841;0,37;0,99
168342;14,00;841;0,37;0,98
168541;14,00;841;0,37;0,99
168715;14,00;860;0,37;0,99
168911;13,00;860;0,38;0,99
169113;13,50;860;0,38;0,98
169289;14,50;860;0,37;0,98
169487;13,50;860;0,38;0,98
169702;16,50;860;0,38;0,97
169900;16,50;841;0,37;0,99
170081;14,00;860;0,37;1,00
170254;14,00;860;0,38;1,00
170453;15,50;821;0,38;0,99
170652;13,50;860;0,38;0,99
170873;13,00;841;0,38;0,99
171074;14,50;841;0,38;0,99
171272;13,00;841;0,38;0,99
171469;14,00;821;0,38;0,99
171667;13,00;841;0,38;0,98
171866;13,50;841;0,39;0,99
172066;11,00;841;0,38;0,98
172242;13,50;821;0,39;0,98
172442;12,00;841;0,37;0,97
172615;18,00;821;0,39;0,98
172814;13,00;841;0,38;0,99
173011;12,50;860;0,38;0,99
173208;13,00;860;0,38;0,99
173409;14,00;860;0,37;0,98
173615;16,50;841;0,38;0,98
173815;17,00;841;0,38;0,97
174016;14,00;841;0,38;0,97
174191;16,50;841;0,38;0,97
174389;15,00;841;0,38;0,98
174587;12,00;821;0,37;0,99
174768;12,50;880;0,38;0,98
174945;14,50;841;0,37;0,99
175128;14,00;860;0,37;1,00
175305;13,50;860;0,37;0,99
175502;14,00;841;0,37;0,98
175700;13,50;841;0,38;0,98
175902;14,00;821;0,39;1,00
176099;12,00;841;0,38;0,99
176297;13,50;841;0,38;0,99
176505;14,00;841;0,38;0,99
176680;12,00;841;0,38;0,99
176875;14,50;841;0,38;0,99
177085;15,00;841;0,37;0,98
177286;13,00;841;0,37;0,98
177483;13,00;841;0,38;0,98
177683;14,00;841;0,38;0,99
177880;14,50;821;0,38;0,98
178080;13,50;841;0,37;0,98
178255;12,50;841;0,37;0,99
178453;11,50;860;0,37;0,99
178650;13,50;860;0,37;0,99
178846;12,50;860;0,37;0,99
179039;15,00;841;0,37;0,98
179237;14,50;860;0,38;0,98
179437;14,50;860;0,36;0,98
179615;14,50;841;0,37;0,99
179812;11,50;841;0,37;0,99
180011;13,00;860;0,37;1,00
180208;13,00;880;0,36;0,99
180406;13,50;860;0,37;0,98
180581;15,00;841;0,37;0,98
180781;13,00;841;0,37;0,98
180961;13,50;860;0,37;0,98
181156;15,00;841;0,37;0,98
181356;14,50;841;0,37;0,99
181553;14,50;841;0,37;0,99
181760;13,00;860;0,37;0,99
181960;13,50;841;0,37;0,99
182157;14,00;841;0,36;0,98
182332;14,50;841;0,38;0,98
182529;15,00;821;0,38;0,97
182710;15,00;821;0,37;0,98
182907;15,50;841;0,37;0,98
183106;18,00;821;0,38;0,99
183306;12,00;841;0,37;0,99
183504;13,50;841;0,38;1,00
183700;12,50;841;0,39;1,01
183902;12,50;841;0,38;0,99
184104;12,50;860;0,38;1,00
184319;13,00;860;0,38;0,99
184520;13,00;841;0,38;1,00
184719;16,00;860;0,37;0,99
184922;12,50;860;0,38;0,99
185131;13,00;860;0,37;0,99
185334;14,00;860;0,37;0,97
185531;13,50;841;0,37;0,98
185728;14,00;860;0,37;0,97
185927;14,00;841;0,38;0,98
186125;12,50;841;0,37;0,98
186322;14,00;841;0,38;0,99
186519;14,50;860;0,37;0,99
186692;11,00;841;0,38;0,99
186890;13,00;860;0,37;0,99
187090;12,00;860;0,37;0,98
187288;13,50;860;0,37;0,98
187467;14,00;860;0,37;0,98
187670;14,50;860;0,38;0,98
187895;13,50;860;0,37;0,98
188091;14,50;841;0,38;0,98
188313;11,50;860;0,37;0,99
188515;13,50;860;0,37;0,99
188713;14,00;860;0,37;0,99
188911;11,00;860;0,37;0,99
189110;11,50;880;0,39;0,98
189307;17,00;1173;0,44;0,98
189481;27,00;1329;0,42;0,96
189680;27,50;1173;0,46;0,91
189882;29,00;1193;0,47;1,02
190078;29,00;1251;0,47;1,00
190278;29,00;1251;0,46;0,98
190486;29,00;1251;0,49;0,97
190659;29,00;1271;0,49;0,98
190854;29,50;1310;0,48;0,99
191053;30,00;1329;0,47;1,00
191252;28,00;1329;0,42;0,99
191452;27,50;1349;0,43;0,97
191627;27,50;1329;0,41;0,98
191827;28,00;1368;0,41;1,00
192024;28,50;1368;0,42;0,99
192221;28,50;1368;0,42;0,98
192396;28,00;1368;0,40;0,97
192597;27,50;1388;0,39;0,96
192796;26,50;1388;0,37;0,97
192992;25,50;1408;0,35;0,98
193190;24,50;1408;0,34;0,99
193384;23,50;1388;0,33;0,99
193583;23,00;1388;0,32;1,01
193759;23,00;1388;0,31;1,00
193936;22,50;1408;0,30;0,99
194133;22,00;1368;0,28;1,01
194350;16,00;1388;0,26;0,98
194554;16,00;1368;0,25;1,01
194758;16,00;1349;0,26;1,03
194955;16,00;1349;0,26;1,03
195152;16,00;1329;0,26;1,02
195350;16,00;1310;0,26;1,02
195524;16,00;1290;0,26;1,01
195723;16,00;1290;0,27;1,01
195923;15,50;1271;0,30;0,97
196119;23,50;1329;0,33;0,97
196294;24,50;1310;0,36;0,93
196493;25,00;1310;0,37;0,86
196692;25,00;1329;0,37;0,89
196896;25,00;1329;0,37;0,91
197116;24,00;1310;0,35;0,94
197316;23,00;1290;0,33;0,94
197514;23,00;1310;0,33;0,96
197717;24,00;1310;0,36;0,98
197919;24,50;1310;0,36;0,98
198124;25,00;1310;0,37;0,98
198323;25,50;1310;0,39;0,98
198526;26,50;1310;0,40;0,98
198723;27,00;1329;0,40;0,98
198922;26,50;1329;0,39;0,98
199123;26,00;1329;0,38;0,99
199299;26,50;1329;0,39;0,99
199502;26,50;1349;0,39;0,99
199673;27,00;1349;0,40;0,98
199868;27,00;1349;0,41;0,97
200069;28,00;1368;0,42;0,98
200268;28,50;1388;0,42;1,00
200468;29,50;1368;0,43;1,00
200642;29,50;1388;0,43;0,98
200841;29,50;1388;0,43;0,97
201037;29,00;1408;0,41;0,97
201235;28,00;1408;0,39;0,98
201432;27,00;1427;0,38;1,00
201631;26,00;1427;0,35;1,00
201805;25,50;1427;0,34;0,99
202004;25,00;1427;0,34;0,96
202199;24,50;1427;0,32;0,98
202399;24,00;1408;0,33;0,98
202598;24,00;1408;0,33;0,98
202772;24,00;1427;0,32;0,98
202970;24,00;1427;0,33;0,99
203168;24,00;1447;0,32;0,99
203360;24,00;1447;0,33;1,01
203556;24,50;1447;0,33;0,99
203758;25,00;1427;0,34;0,97
203958;25,00;1427;0,34;0,98
204129;24,50;1447;0,33;1,00
204327;24,00;1447;0,32;0,99
204544;24,50;1447;0,34;0,98
204746;26,00;1447;0,36;0,97
204944;27,00;1447;0,38;0,96
205148;28,00;1447;0,38;0,97
205346;28,00;1447;0,39;0,98
205543;29,50;1466;0,40;0,99
205744;31,00;1486;0,44;1,01
205934;31,00;1486;0,43;0,99
206137;30,50;1486;0,47;0,97
206338;30,50;1505;0,48;0,97
206544;31,00;1525;0,49;0,96
206743;31,00;1544;0,46;0,98
206915;31,00;1544;0,46;0,99
207113;31,00;1564;0,48;1,01
207314;31,50;1564;0,46;0,97
207512;31,50;1603;0,51;0,97
207709;31,50;1603;0,49;0,98
207885;32,00;1623;0,48;0,98
208083;32,00;1623;0,49;0,99
208281;32,50;1642;0,47;0,98
208480;32,50;1642;0,46;0,97
208655;32,50;1662;0,48;0,97
208852;33,00;1681;0,46;0,99
209054;33,00;1681;0,48;0,99
209277;33,50;1701;0,45;0,97
209476;32,00;1701;0,42;0,97
209651;31,50;1701;0,40;0,98
209852;31,00;1720;0,40;0,99
210048;31,00;1720;0,39;0,99
210245;30,50;1720;0,38;0,97
210442;30,00;1720;0,39;0,96
210638;30,00;1720;0,37;0,98
210837;30,50;1720;0,39;0,98
211038;31,00;1720;0,39;0,99
211259;31,50;1720;0,40;1,01
211461;31,50;1740;0,39;0,97
211660;31,50;1740;0,40;0,97
211857;31,50;1740;0,40;0,97
212054;32,00;1740;0,41;0,99
212249;33,00;1740;0,41;1,00
212448;34,00;1760;0,43;0,98
212622;34,00;1760;0,45;0,98
212823;34,00;1779;0,46;0,98
213022;33,00;1779;0,51;0,99
213198;33,00;1799;0,57;0,97
213396;32,50;1799;0,65;0,96
213593;30,50;1818;0,72;0,96
213790;30,00;1857;0,73;0,98
213967;30,50;1857;0,78;1,02
214165;30,50;1896;0,77;1,00
214342;31,00;1896;0,73;0,98
214539;32,00;1896;0,72;0,97
214739;33,00;1935;0,70;0,97
214939;35,00;1935;0,65;0,99
215160;35,50;1955;0,55;0,98
215359;35,50;1955;0,49;0,98
215557;36,50;1955;0,45;0,98
215756;36,50;1935;0,42;0,98
215953;36,00;1935;0,41;0,99
216129;36,00;1935;0,42;1,02
216315;36,50;1935;0,42;0,96
216489;36,00;1935;0,40;0,95
216689;35,50;1916;0,41;0,96
216868;34,50;1916;0,39;0,97
217069;34,50;1935;0,39;0,97
217242;34,50;1935;0,40;0,97
217438;35,00;1916;0,40;0,97
217623;35,50;1916;0,41;0,99
217822;36,00;1935;0,41;0,99
217999;36,00;1935;0,41;0,97
218200;35,50;1916;0,40;0,97
218373;35,00;1916;0,40;0,97
218575;34,50;1916;0,39;0,98
218748;33,50;1916;0,38;0,98
218943;33,50;1916;0,39;0,99
219142;33,50;1896;0,40;0,99
219340;34,00;1916;0,39;0,97
219539;34,00;1896;0,38;0,97
219735;34,00;1916;0,40;0,99
219932;34,00;1896;0,40;0,98
220160;34,00;1896;0,39;0,99
220358;34,50;1916;0,41;0,98
220558;34,50;1916;0,40;0,99
220733;34,50;1916;0,41;0,98
220930;35,00;1916;0,41;0,97
221129;34,50;1916;0,39;0,98
221327;35,00;1935;0,41;0,99
221523;35,00;1916;0,41;0,98
221700;35,50;1916;0,43;0,97
221900;36,00;1935;0,42;0,98
222099;36,50;1935;0,43;1,02
222273;36,50;1935;0,44;1,00
222470;36,00;1935;0,45;0,98
222671;36,00;1955;0,47;0,97
222866;36,00;1955;0,49;0,97
223064;36,00;1955;0,51;0,99
223244;35,50;1975;0,52;0,99
223444;35,50;1994;0,51;0,96
223643;36,00;2014;0,53;0,98
223840;35,50;2014;0,56;1,00
224036;36,00;2033;0,58;0,96
224234;36,00;2033;0,58;0,95
224434;36,00;2033;0,58;0,98
224637;36,00;2072;0,56;0,99
224836;37,50;2053;0,44;0,97
225035;31,00;2053;0,27;0,95
225209;19,50;1916;0,22;0,98
225432;18,50;1720;0,23;0,95
225632;18,00;1544;0,24;0,86
225828;25,50;1544;0,33;0,85
226027;31,50;1544;0,44;0,87
226224;31,00;1544;0,47;0,91
226422;31,00;1544;0,49;0,95
226597;31,50;1544;0,50;0,96
226781;32,00;1564;0,46;0,98
226977;30,00;1564;0,41;1,00
227172;28,00;1564;0,36;1,01
227370;26,50;1564;0,33;1,00
227546;26,00;1564;0,33;0,98
227749;26,00;1564;0,34;0,98
227949;26,50;1564;0,38;0,97
228148;28,00;1564;0,40;0,98
228345;30,00;1564;0,41;0,99
228517;30,50;1564;0,42;0,98
228718;30,50;1564;0,41;0,97
228896;29,50;1564;0,38;0,97
229116;26,00;1544;0,32;0,97
229321;25,00;1564;0,30;0,98
229524;23,50;1544;0,30;0,99
229696;22,50;1544;0,28;1,01
229894;22,50;1544;0,28;1,00
230089;22,50;1525;0,27;0,99
230289;22,50;1525;0,27;0,99
230489;22,50;1544;0,30;0,99
230688;22,50;1544;0,27;0,98
230889;22,50;1525;0,29;0,98
231090;22,50;1505;0,27;1,02
231288;22,50;1486;0,28;0,99
231490;22,50;1505;0,29;1,00
231665;22,50;1505;0,29;0,98
231861;22,50;1486;0,29;0,99
232059;22,50;1486;0,29;0,98
232259;22,50;1466;0,30;1,01
232436;22,50;1466;0,30;0,99
232636;22,50;1466;0,31;1,01
232834;22,50;1466;0,30;0,97
233035;22,50;1466;0,30;0,98
233237;22,50;1447;0,30;0,94
233438;23,00;1466;0,31;0,98
233634;22,50;1486;0,30;0,99
233832;22,50;1447;0,29;0,99
234030;22,50;1466;0,29;0,99
234237;22,50;1427;0,30;0,98
234436;22,50;1447;0,30;0,97
234616;23,00;1447;0,31;0,97
234815;23,50;1447;0,32;0,99
234990;23,50;1447;0,31;0,99
235174;24,00;1447;0,33;0,99
235362;24,00;1427;0,34;0,98
235562;24,00;1447;0,34;0,96
235759;25,00;1447;0,34;0,97
235965;25,00;1427;0,35;0,98
236164;25,00;1447;0,36;0,99
236361;26,00;1447;0,35;0,98
236564;26,00;1447;0,36;0,97
236761;26,50;1447;0,38;0,97
236961;26,50;1447;0,38;0,99
237160;26,50;1447;0,38;0,99
237375;27,00;1447;0,38;0,97
237573;26,50;1466;0,36;0,97
237774;26,50;1447;0,37;0,97
237973;26,50;1447;0,37;1,00
238170;26,50;1466;0,37;0,99
238367;26,50;1466;0,37;0,98
238550;26,50;1466;0,37;0,98
238750;24,50;1427;0,31;0,97
238947;16,50;1427;0,26;0,97
239121;16,50;1408;0,26;0,98
239320;16,50;1408;0,25;1,12
239518;16,00;1388;0,26;1,23
239714;15,50;1212;0,27;1,29
239915;19,50;1075;0,29;1,29
240089;19,00;1017;0,31;1,23
240288;19,00;978;0,31;1,13
240479;19,00;958;0,33;1,03
240677;19,00;919;0,34;0,96
240876;19,00;880;0,34;0,97
241074;19,00;880;0,36;0,95
241278;19,00;899;0,36;0,95
241480;19,00;899;0,36;0,96
241681;19,00;899;0,36;0,96
241881;19,00;899;0,36;0,97
242079;18,00;860;0,37;0,99
242277;19,00;899;0,36;0,98
242477;19,00;880;0,36;0,99
242676;14,50;880;0,37;0,99
242874;14,50;880;0,36;0,98
243071;17,00;880;0,36;0,98
243273;18,50;860;0,37;0,98
243448;13,00;880;0,37;0,99
243646;18,50;841;0,37;0,99
243847;14,50;860;0,37;1,00
244022;14,00;860;0,38;1,00
244219;17,00;860;0,38;1,01
244417;14,50;841;0,37;0,99
244617;14,00;841;0,37;0,99
244792;12,50;860;0,37;0,99
244990;14,00;841;0,39;0,99
245184;16,50;841;0,39;0,99
245385;13,50;841;0,38;0,98
245584;14,50;860;0,38;0,99
245761;13,50;841;0,38;0,98
245960;11,00;860;0,38;0,98
246158;18,50;860;0,39;0,98
246335;14,50;860;0,39;0,98
246533;13,00;860;0,38;0,98
246730;17,50;880;0,39;0,99
246904;18,50;821;0,38;1,00
247107;19,00;1036;0,52;1,02
247281;27,50;1447;0,60;0,95
247480;32,50;1720;0,58;0,97
247677;32,50;1584;0,62;1,02
247874;27,00;1153;0,67;1,00
248072;24,50;938;0,78;0,98
248272;24,00;1232;0,81;0,93
248448;26,50;1271;0,83;0,95
248646;28,00;1466;0,76;0,97
248846;29,50;1623;0,73;1,01
249047;30,50;1681;0,74;1,03
249249;32,50;1896;0,71;1,02
249438;32,50;1975;0,72;1,00
249636;32,50;2170;0,73;0,99
249839;33,50;2346;0,73;0,96
250037;34,50;2502;0,74;0,97
250261;36,50;2717;0,73;0,98
250460;37,00;2893;0,75;0,98
250662;35,00;3108;0,76;0,96
250875;35,50;3324;0,83;0,97
251077;39,00;3343;0,54;0,96
251251;38,50;3363;0,25;0,89
251448;24,00;2991;0,16;0,88
251647;24,00;2620;0,16;0,96
251846;22,50;2248;0,21;1,16
252043;24,00;1975;0,30;1,36
252216;35,50;1994;0,56;1,36
252415;29,00;2092;0,74;0,94
252614;29,50;2170;0,81;0,94
252811;30,50;2229;0,81;0,93
253009;32,00;2307;0,81;0,97
253207;33,00;2385;0,80;1,00
253380;33,00;2483;0,81;1,00
253578;34,50;2542;0,80;0,96
253780;35,50;2600;0,72;0,98
253954;37,00;2659;0,63;1,01
254151;38,00;2698;0,62;0,98
254329;39,50;2737;0,55;0,97
254528;41,00;2776;0,50;0,97
254727;42,00;2815;0,47;0,98
254928;42,50;2835;0,43;0,99
255130;43,00;2854;0,43;0,99
255352;43,00;2874;0,42;0,98
255551;43,50;2913;0,41;0,98
255752;43,50;2932;0,41;0,98
255953;43,50;2972;0,39;0,97
256149;43,50;2972;0,38;0,97
256347;43,50;2991;0,38;1,00
256546;43,50;3011;0,37;0,99
256722;43,50;3030;0,39;0,98
256919;43,50;3050;0,41;1,03
257121;43,50;3089;0,42;0,96
257319;43,50;3089;0,45;0,97
257517;43,50;3148;0,44;0,99
257714;43,50;3148;0,43;0,95
257917;43,50;3206;0,44;1,01
258116;41,50;3206;0,55;0,99
258314;38,50;3265;0,64;0,94
258516;38,00;3324;0,66;0,95
258689;39,50;3382;0,60;0,97
258888;43,50;3363;0,29;0,95
259085;33,00;3108;0,16;0,89
259282;24,00;2737;0,15;0,90
259482;22,50;2307;0,20;1,09
259678;20,50;1955;0,23;1,36
259852;18,50;1662;0,25;1,36
260053;24,50;1701;0,33;1,36
260251;31,50;2190;0,33;1,36
260475;32,50;2150;0,34;1,09
260675;33,50;2131;0,35;1,00
260871;32,50;2131;0,35;0,98
261071;31,50;2131;0,33;0,96
261245;31,00;2150;0,32;0,97
261445;30,50;2111;0,32;0,97
261644;32,00;2131;0,34;0,97
261820;33,00;2131;0,35;0,98
262019;35,00;2131;0,39;0,98
262217;38,50;2131;0,44;0,98
262392;37,00;2131;0,49;0,99
262595;35,00;2150;0,61;1,00
262794;35,00;2170;0,64;0,95
262993;34,50;2190;0,65;0,97
263197;34,50;2229;0,68;1,02
263394;34,00;2209;0,69;0,97
263590;33,00;2268;0,71;0,99
263788;33,50;2268;0,74;0,99
263986;33,00;2307;0,74;1,00
264189;33,50;2326;0,73;0,98
264363;33,50;2346;0,71;0,98
264561;34,00;2366;0,75;0,99
264764;34,00;2405;0,72;0,97
264964;34,50;2405;0,71;0,97
265161;34,50;2444;0,68;1,00
265361;35,50;2444;0,69;0,95
265560;35,50;2463;0,64;0,97
265758;36,00;2502;0,60;1,05
265957;36,50;2502;0,60;0,96
266133;36,50;2522;0,61;0,97
266329;37,00;2542;0,64;0,99
266525;37,50;2542;0,55;0,99
266719;37,50;2561;0,60;1,00
266917;38,00;2581;0,56;0,97
267118;38,00;2581;0,55;0,97
267324;38,50;2600;0,53;0,99
267522;38,50;2600;0,52;1,03
267722;38,50;2620;0,54;0,96
267920;38,50;2639;0,56;1,00
268120;39,50;2639;0,52;0,99
268294;39,50;2659;0,54;0,96
268478;40,00;2659;0,51;0,96
268678;40,00;2678;0,50;1,00
268852;40,50;2678;0,50;0,97
269050;40,50;2678;0,48;0,97
269249;40,50;2678;0,47;0,99
269446;41,00;2678;0,49;0,99
269644;41,50;2698;0,47;0,96
269818;40,50;2698;0,48;1,01
270017;40,00;2698;0,52;0,97
270217;39,00;2717;0,57;0,95
270393;37,50;2737;0,62;0,98
270592;38,00;2757;0,66;0,97
270792;38,00;2757;0,67;0,97
270994;37,50;2776;0,69;0,98
271195;38,00;2815;0,69;0,99
271395;38,00;2835;0,68;1,02
271569;38,50;2835;0,67;0,97
271770;39,00;2854;0,62;1,03
271997;40,00;2893;0,59;0,97
272194;40,50;2893;0,57;0,98
272392;41,00;2893;0,56;1,01
272591;41,50;2913;0,52;0,97
272791;42,00;2913;0,49;0,97
272964;40,50;2913;0,51;1,01
273165;36,00;2952;0,72;0,99
273363;32,50;2972;0,84;0,91
273540;32,00;3011;0,91;0,98
273739;31,50;3050;0,92;1,01
273914;31,00;3069;0,86;1,01
274110;30,50;3128;0,96;0,96
274307;29,50;3167;0,94;0,93
274508;28,00;3226;1,08;0,92
274686;27,00;3284;1,05;0,89
274882;27,00;3343;1,08;0,90
275080;27,00;3402;1,09;0,87
275280;29,50;3441;0,81;0,84
275478;36,00;3460;0,57;0,78
275676;42,50;3441;0,41;0,77
275873;42,50;3441;0,38;0,81
276073;42,50;3441;0,48;0,85
276275;40,50;3441;0,51;0,98
276476;37,50;3480;0,63;0,98
276648;36,00;3480;0,72;0,97
276848;35,50;3519;0,78;0,96
277024;35,00;3539;0,85;0,98
277226;34,00;3558;0,92;1,01
277402;32,00;3597;0,95;1,01
277598;30,50;3636;0,98;0,98
277799;30,00;3695;0,96;0,91
277992;29,50;3734;1,10;0,91
278191;28,50;3793;1,06;0,89
278374;27,50;3832;1,03;0,88
278548;27,00;3890;1,07;0,89
278750;27,00;3949;1,08;0,87
278924;28,00;4008;1,17;0,86
279125;28,50;4066;1,19;0,85
279322;27,50;4145;1,17;0,80
279518;26,00;4223;1,21;0,81
279716;23,50;4281;1,24;0,79
279912;19,50;4379;1,31;0,75
280113;19,00;4496;1,40;0,68
280320;20,50;4575;1,36;0,70
280519;20,00;4672;1,41;0,69
280716;20,50;4751;1,40;0,74
280914;22,00;4888;1,40;0,74
281112;23,00;4966;1,30;0,74
281311;20,00;5200;1,41;0,74
281510;18,50;5200;1,53;0,70
281686;18,00;5318;1,59;0,75
281884;18,00;5415;1,64;0,71
282078;18,50;5552;1,80;0,70
282280;18,50;5845;1,75;0,70
282454;19,00;5963;1,85;0,74
282654;18,00;5885;1,81;0,75
282850;18,00;5845;1,13;0,68
283050;25,00;5181;0,25;0,84
283224;34,00;4672;0,14;0,80
283420;24,00;4086;0,12;0,72
283617;24,00;3734;0,16;0,72
283818;39,00;4184;0,30;0,79
283998;33,50;4262;0,23;0,95
284224;33,00;4242;0,22;0,97
284425;33,00;4223;0,21;0,97
284599;33,00;4223;0,20;0,97
284798;33,00;4203;0,19;1,00
284994;33,00;4184;0,18;0,98
285189;33,00;4145;0,15;0,98
285389;33,00;4125;0,14;1,33
285588;33,00;4086;0,13;1,36
285762;33,00;4047;0,13;1,36
285962;33,00;4027;0,16;1,36
286160;33,00;4008;0,20;1,36
286361;35,00;4008;0,28;1,23
286560;42,50;3969;0,35;0,97
286762;38,50;3969;0,43;0,97
286959;37,50;3949;0,50;0,96
287156;37,50;3949;0,54;0,98
287358;37,50;3949;0,52;0,99
287531;37,00;3930;0,54;1,01
287734;37,00;3930;0,56;1,01
287931;37,00;3930;0,57;0,97
288129;37,00;3910;0,58;0,98
288301;37,00;3910;0,59;0,96
288501;37,00;3910;0,58;0,98
288703;37,50;3890;0,55;1,02
288876;37,50;3910;0,55;0,98
289076;37,50;3890;0,52;0,99
289276;37,50;3890;0,56;1,00
289473;37,50;3890;0,54;0,98
289671;37,50;3871;0,54;0,99
289870;38,00;3871;0,51;0,95
290073;38,00;3851;0,51;0,99
290272;38,50;3851;0,51;0,99
290472;39,00;3851;0,48;0,96
290688;39,00;3832;0,46;0,98
290863;41,00;3832;0,41;0,98
291066;42,50;3812;0,38;1,00
291267;42,00;3793;0,35;0,97
291465;41,50;3773;0,33;0,97
291664;41,00;3773;0,35;0,97
291863;41,50;3754;0,36;0,99
292060;41,00;3734;0,35;0,98
292286;43,00;3734;0,41;0,99
292486;40,50;3714;0,48;0,97
292685;38,50;3714;0,53;0,98
292861;37,50;3714;0,56;0,98
293064;37,50;3714;0,61;0,95
293239;37,50;3695;0,68;1,01
293439;37,00;3695;0,64;0,98
293637;36,50;3695;0,66;0,98
293834;36,50;3695;0,73;1,00
294008;36,50;3695;0,69;0,97
294208;36,50;3714;0,71;1,00
294418;36,00;3714;0,72;0,98
294615;36,00;3714;0,73;0,95
294841;35,50;3714;0,75;1,02
295043;35,50;3734;0,72;0,96
295222;35,50;3734;0,73;1,03
295409;35,00;3734;0,75;1,01
295604;35,00;3734;0,80;1,00
295778;34,50;3754;0,82;0,98
295975;34,50;3754;0,78;1,10
296158;34,50;3773;0,77;0,98
296356;34,50;3773;0,80;0,97
296553;34,50;3793;0,80;0,99
296752;34,50;3793;0,82;0,98
296958;34,00;3812;0,80;0,97
297160;34,00;3812;0,79;1,01
297332;35,00;3832;0,81;1,00
297532;36,00;3832;0,65;0,99
297731;38,50;3832;0,43;0,90
297929;41,00;3793;0,23;0,86
298128;35,00;3793;0,20;0,74
298303;33,00;3793;0,17;0,75
298502;33,00;3734;0,15;0,79
298679;33,00;3734;0,15;1,05
298876;33,00;3714;0,16;1,36
299076;33,00;3734;0,22;1,36
299273;42,50;3695;0,43;1,01
299445;38,50;3695;0,54;0,97
299651;37,00;3714;0,57;0,97
299825;35,50;3714;0,72;0,96
300022;34,50;3734;0,85;0,97
300218;33,00;3754;0,93;0,97
300415;32,00;3773;0,98;1,00
300615;30,50;3793;0,98;1,04
300812;29,00;3812;1,02;0,96
300987;27,50;3851;1,03;0,90
301184;27,50;3890;1,11;0,89
301384;28,50;3910;1,14;0,84
301583;29,00;3969;1,22;0,83
301781;27,00;4008;1,29;0,82
301955;22,00;4047;1,36;0,78
302152;18,50;4106;1,50;0,73
302351;15,00;4184;1,67;0,70
