Time (msec);Timing Advance (degrees);PLX Engine Speed (rpm);PLX Manifold Absolute Pressure (bar);PLX O2 - Wideband (Lambda)
34201;21,50;2248;0,21;1,36
34374;21,50;2229;0,21;1,36
34573;21,50;2229;0,21;1,36
34773;21,50;2229;0,22;1,36
34950;21,50;2229;0,22;1,36
35149;21,50;2229;0,22;1,36
35347;21,50;2209;0,21;1,36
35545;21,50;2209;0,21;1,36
35742;21,50;2190;0,21;1,36
35915;21,00;2190;0,21;1,36
36114;21,00;2170;0,21;1,36
36292;21,00;2170;0,21;1,36
36493;21,00;2150;0,22;1,36
36690;21,00;2150;0,22;1,36
36886;21,00;2150;0,22;1,36
37084;21,00;2131;0,22;1,36
37262;20,50;2111;0,22;1,36
37460;20,50;2111;0,22;1,36
37659;20,50;2092;0,23;1,36
37834;20,50;2072;0,22;1,36
38032;20,50;2072;0,22;1,36
38231;20,50;2053;0,22;1,36
38406;20,50;2033;0,20;1,36
38606;20,00;2033;0,22;1,36
38804;20,00;2014;0,22;1,36
39004;20,00;1994;0,21;1,36
39205;20,00;1975;0,21;1,36
39408;20,00;1975;0,21;1,36
39605;20,00;1955;0,21;1,36
39800;19,50;1955;0,21;1,36
39997;19,50;1955;0,21;1,36
40196;19,50;1935;0,21;1,36
40395;19,50;1916;0,21;1,36
40595;19,50;1896;0,20;1,36
40771;19,50;1896;0,22;1,36
40967;19,50;1877;0,21;1,36
41166;19,00;1877;0,20;1,36
41364;19,00;1857;0,20;1,36
41562;19,00;1838;0,20;1,36
41736;19,00;1838;0,21;1,36
41938;19,00;1818;0,20;1,36
42135;19,00;1818;0,20;1,36
42308;19,00;1799;0,21;1,36
42528;19,00;1799;0,21;1,36
42721;19,00;1799;0,21;1,36
42919;19,00;1779;0,21;1,36
43095;18,50;1779;0,21;1,36
43293;18,50;1760;0,21;1,36
43489;18,50;1760;0,20;1,36
43686;18,50;1740;0,21;1,36
43885;18,50;1740;0,21;1,36
44085;18,50;1740;0,21;1,36
44259;18,50;1740;0,20;1,36
44456;18,50;1701;0,21;1,36
44640;18,50;1720;0,21;1,36
44836;18,50;1701;0,22;1,36
45035;18,00;1701;0,22;1,36
45210;18,00;1701;0,21;1,36
45412;18,00;1701;0,21;1,36
45589;18,00;1681;0,21;1,36
45790;18,00;1681;0,22;1,36
45962;18,00;1681;0,22;1,36
46160;18,00;1662;0,21;1,36
46357;18,00;1681;0,22;1,36
46558;18,00;1662;0,22;1,36
46754;18,00;1662;0,22;1,36
46951;18,00;1662;0,22;1,36
47149;18,00;1642;0,22;1,36
47359;18,00;1642;0,22;1,36
47556;18,00;1642;0,22;1,36
47732;17,50;1642;0,22;1,36
47931;17,50;1623;0,22;1,36
48128;17,50;1623;0,22;1,36
48326;17,50;1623;0,22;1,36
48523;17,50;1603;0,22;1,36
48722;17,50;1603;0,22;1,36
48895;17,50;1603;0,22;1,36
49096;17,50;1603;0,21;1,36
49295;17,50;1584;0,22;1,36
49469;17,50;1584;0,23;1,36
49665;17,50;1584;0,22;1,36
49865;17,50;1564;0,21;1,36
50083;17,50;1564;0,23;1,36
50280;17,50;1564;0,22;1,36
50481;17,50;1544;0,22;1,36
50681;17,00;1544;0,23;1,36
50880;17,00;1525;0,23;1,36
51077;17,00;1525;0,22;1,36
51279;17,00;1525;0,22;1,36
51453;17,00;1505;0,23;1,36
51653;17,00;1486;0,23;1,36
51853;17,00;1486;0,23;1,36
52052;16,50;1466;0,23;1,36
52255;16,50;1447;0,23;1,36
52477;16,50;1427;0,23;1,36
52678;16,50;1408;0,23;1,36
52880;16,50;1408;0,24;1,36
53081;16,50;1408;0,24;1,36
53279;16,00;1388;0,24;1,36
53478;16,50;1408;0,25;1,36
53677;16,50;1408;0,24;1,36
53877;16,50;1388;0,24;1,36
54075;16,50;1427;0,24;1,36
54271;16,50;1388;0,24;1,36
54469;16,50;1427;0,23;1,33
54671;16,50;1427;0,23;1,21
54866;16,50;1427;0,23;1,18
55053;16,50;1427;0,22;1,20
55257;16,50;1427;0,23;1,14
55475;16,50;1447;0,22;1,18
55680;16,50;1447;0,22;1,13
55877;16,50;1466;0,22;1,11
56075;16,50;1447;0,22;1,10
56275;16,50;1466;0,22;1,09
56475;16,50;1466;0,22;1,09
56648;16,50;1466;0,22;1,07
56845;16,50;1466;0,22;1,11
57043;16,50;1486;0,22;1,07
57240;16,50;1466;0,22;1,05
57439;16,50;1466;0,22;1,03
57635;16,50;1447;0,22;1,02
57835;16,50;1466;0,22;1,03
58011;16,50;1447;0,22;1,02
58209;16,50;1447;0,22;0,99
58405;16,50;1447;0,22;1,00
58603;16,50;1427;0,22;0,99
58779;16,50;1427;0,22;0,99
58975;16,50;1408;0,23;0,98
59172;16,50;1388;0,23;0,97
59361;16,00;1388;0,22;0,97
