Tune Datalog export of DL
Tune file: Race map for Sunday - TPS disabled4.bin
Total Frames: 7976
Duration :00:04:59.547
Frame,Duration,RPM,VSS(kmh),Gear,MAP(mBar),Boost(psi),PA(mBar),TPS(%),TPS Voltage(v),INJ Duration(ms),INJ Duty(%),Fuel Value,IGN Table(degrees),IGN Final(degrees),ECT(C),IAT(C),A/F Ratio,D14(v),BAT Voltage(v),ELD Voltage(v),MAP Voltage(v),MIL
1167,43.277,7621,115,3,669,0,4082,0,0.51,0.76,5.00,239.75,40.50,38.50,91,55,15.65,2.90,13.19,4.55,0.76,OFF
1168,43.324,7156,116,3,1921,13.17,4082,101,4.55,2.52,15.00,789.75,18.50,19.75,91,55,16.13,3.10,13.19,4.57,2.27,OFF
1169,43.353,7780,116,2,1969,13.87,4082,101,4.55,2.60,17.00,813.00,19.00,20.25,91,55,16.13,3.10,13.10,4.57,2.33,OFF
1170,43.417,6555,128,3,2246,17.88,4082,101,4.55,2.75,15.00,859.75,16.25,17.50,91,55,16.08,3.08,13.10,4.57,2.67,OFF
1171,43.448,6443,128,3,2359,19.52,4082,101,4.55,2.81,15.00,877.00,14.75,16.00,91,55,17.30,3.88,12.71,4.55,2.80,OFF
1172,43.499,6625,125,3,2506,21.65,4082,101,4.55,2.96,16.00,925.75,14.00,15.25,91,55,17.30,3.88,13.10,4.55,2.98,OFF
1173,43.531,6868,125,3,2587,22.83,4082,101,4.55,3.01,17.00,941.00,13.00,14.25,91,55,17.30,3.88,13.10,4.55,3.08,OFF
1174,43.578,6578,126,3,2668,24,4082,101,4.55,3.18,17.00,995.75,12.25,13.50,91,55,17.30,3.88,13.10,4.57,3.18,OFF
1175,43.608,6893,129,3,2701,24.48,4082,101,4.55,3.24,19.00,1012.25,11.50,12.75,91,55,17.30,3.88,12.81,4.55,3.22,OFF
1176,43.644,6970,128,3,2750,25.19,4082,101,4.55,3.29,19.00,1029.00,11.25,12.50,91,55,17.30,3.88,12.81,4.55,3.27,OFF
1177,43.676,6893,129,3,2782,25.66,4082,101,4.55,3.37,19.00,1053.50,10.75,12.00,91,55,17.30,3.88,12.81,4.57,3.31,OFF
1178,43.723,6843,130,3,2847,26.6,4082,101,4.55,3.48,20.00,1086.25,10.50,11.75,91,55,17.30,3.88,12.81,4.57,3.39,OFF
1179,43.756,6996,130,3,2863,26.83,4082,101,4.55,3.52,21.00,1101.50,10.75,11.50,91,55,17.30,3.88,12.90,4.57,3.41,OFF
1180,43.801,7156,130,3,2896,27.31,4082,101,4.55,3.55,21.00,1110.25,10.50,11.75,91,55,15.93,3.02,12.90,4.57,3.45,OFF
1181,43.833,7267,131,3,2896,27.31,4082,101,4.55,3.57,22.00,1116.50,10.25,11.50,91,55,15.89,3.00,12.61,4.57,3.45,OFF
1182,43.868,7239,132,3,2945,28.02,4082,101,4.55,3.59,22.00,1123.75,10.25,11.50,91,55,15.41,2.80,12.61,4.55,3.51,OFF
1183,43.888,7239,133,3,2912,27.54,4082,101,4.55,3.59,22.00,1123.75,10.25,11.50,91,55,15.19,2.71,12.61,4.57,3.47,OFF
1184,43.921,7530,135,3,2928,27.77,4082,101,4.55,3.59,23.00,1121.50,10.50,11.75,91,55,15.36,2.78,12.61,4.57,3.49,OFF
1185,43.965,7780,138,3,2928,27.77,4082,101,4.55,3.56,23.00,1112.00,11.00,12.25,91,55,16.08,3.08,12.61,4.57,3.49,OFF
1186,43.998,7500,142,3,2928,27.77,4082,101,4.55,3.61,23.00,1128.25,10.50,11.75,91,55,15.74,2.94,12.71,4.57,3.49,OFF
1187,44.045,7295,142,3,2928,27.77,4082,101,4.55,3.62,22.00,1130.00,10.00,11.25,91,55,15.31,2.76,12.71,4.57,3.49,OFF
1188,44.076,7530,141,3,2945,28.02,4082,101,4.55,3.63,23.00,1133.00,10.25,11.50,91,55,15.55,2.86,12.90,4.57,3.51,OFF
1189,44.113,7591,139,3,2977,28.49,4082,101,4.55,3.63,23.00,1135.75,10.25,11.50,91,55,15.55,2.86,12.90,4.57,3.55,OFF
1190,44.143,7500,139,3,2977,28.49,4082,101,4.55,3.64,23.00,1139.75,10.25,11.50,91,55,16.08,3.08,12.90,4.57,3.55,OFF
1191,44.175,7812,139,3,2977,28.49,4082,101,4.55,3.60,23.00,1126.75,10.75,12.00,91,55,15.79,2.96,12.52,4.55,3.55,OFF
1192,44.222,7747,141,3,2961,28.25,4082,101,4.55,3.61,23.00,1128.00,10.50,11.75,91,55,15.98,3.04,12.52,4.57,3.53,OFF
1193,44.255,7780,141,3,2961,28.25,4082,101,4.55,3.60,23.00,1126.75,10.75,12.00,91,55,15.45,2.82,13.00,4.55,3.53,OFF
1194,44.3,7653,145,3,2961,28.25,4082,101,4.55,3.59,23.00,1122.25,10.75,12.00,91,55,15.36,2.78,13.00,4.55,3.53,OFF
1195,44.333,7780,148,3,2945,28.02,4082,101,4.55,3.59,23.00,1122.50,11.00,12.25,91,55,15.19,2.71,12.71,4.57,3.51,OFF
1196,44.37,7780,143,3,2961,28.25,4082,101,4.55,3.57,23.00,1117.25,11.00,12.25,91,55,15.45,2.82,12.71,4.55,3.53,OFF
1197,44.399,7978,144,3,2945,28.02,4082,101,4.55,3.57,24.00,1115.75,11.00,12.25,91,55,15.45,2.82,12.71,4.57,3.51,OFF
1198,44.432,8047,142,3,2961,28.25,4082,101,4.55,3.58,24.00,1119.25,11.00,12.25,91,55,16.08,3.08,12.52,4.55,3.53,OFF
1199,44.465,7944,143,3,2945,28.02,4082,101,4.55,3.58,24.00,1120.00,11.00,12.25,91,55,16.08,3.08,12.52,4.57,3.51,OFF
1200,44.494,7944,144,3,2945,28.02,4082,101,4.55,3.58,24.00,1120.50,11.00,12.25,91,55,16.08,3.08,12.52,4.57,3.51,OFF
1201,44.527,8047,145,3,2945,28.02,4082,101,4.55,3.57,24.00,1115.00,11.25,12.25,91,55,17.30,3.88,12.52,4.57,3.51,OFF
1202,44.574,8012,147,3,2928,27.77,4082,101,4.55,3.56,24.00,1111.50,11.00,12.25,91,55,17.30,3.88,12.52,4.55,3.49,OFF
1203,44.605,8484,146,3,2928,27.77,4082,101,4.55,3.55,25.00,1108.75,11.25,12.50,91,55,15.19,2.71,12.61,4.55,3.49,OFF
1204,44.655,8047,148,3,2945,28.02,4082,101,4.55,3.55,24.00,1110.50,11.25,12.50,91,55,15.36,2.78,12.90,4.57,3.51,OFF
1205,44.688,8152,149,3,2928,27.77,4082,101,4.55,3.55,24.00,1109.75,11.25,12.50,91,55,15.36,2.78,12.90,4.57,3.49,OFF
1206,44.721,8223,149,3,2928,27.77,4082,101,4.55,3.54,24.00,1107.50,11.25,12.50,91,55,15.93,3.02,12.90,4.57,3.49,OFF
1207,44.75,8408,150,3,2928,27.77,4082,101,4.55,3.54,25.00,1105.00,11.25,12.50,91,55,16.17,3.12,12.81,4.55,3.49,OFF
1208,44.783,8408,150,3,2912,27.54,4082,101,4.55,3.54,25.00,1105.00,11.25,12.50,91,55,15.19,2.71,12.81,4.57,3.47,OFF
1209,44.829,8408,152,3,2896,27.31,4082,101,4.55,3.54,25.00,1105.00,11.25,12.50,91,55,15.31,2.76,12.52,4.57,3.45,OFF
1210,44.863,8445,154,3,2928,27.77,4082,101,4.55,3.52,25.00,1100.75,11.25,12.50,91,55,15.93,3.02,12.52,4.57,3.49,OFF
1211,44.91,8333,150,3,2912,27.54,4082,101,4.55,3.53,25.00,1102.50,11.25,12.50,91,55,16.08,3.08,12.71,4.57,3.47,OFF
1212,44.941,8259,153,3,2896,27.31,4082,101,4.55,3.53,24.00,1103.75,11.25,12.50,91,55,15.55,2.86,12.71,4.55,3.45,OFF
1213,44.976,8408,155,3,2896,27.31,4082,101,4.55,3.55,25.00,1108.25,11.25,12.50,91,55,15.31,2.76,12.71,4.55,3.45,OFF
1214,45.005,8408,156,3,2912,27.54,4082,101,4.55,3.52,25.00,1101.50,11.25,12.50,91,55,15.55,2.86,12.61,4.57,3.47,OFF
1215,45.038,8680,156,3,2896,27.31,4082,101,4.55,3.52,25.00,1100.00,11.25,12.50,91,55,15.50,2.84,12.61,4.57,3.45,OFF
1216,45.085,8844,158,3,2880,27.08,4082,101,4.55,3.51,26.00,1096.75,11.25,12.50,91,55,17.30,3.88,12.61,4.57,3.43,OFF
1217,45.118,8761,159,3,2912,27.54,4082,101,4.55,3.51,26.00,1096.75,11.25,12.50,91,56,17.30,3.88,12.61,4.57,3.47,OFF
1218,45.166,8484,160,3,2880,27.08,4082,101,4.55,3.50,25.00,1095.00,11.25,12.25,91,56,17.30,3.88,12.42,4.57,3.43,OFF
1219,45.198,8802,160,3,2896,27.31,4082,101,4.55,3.50,26.00,1095.00,11.25,12.25,91,56,17.30,3.88,12.42,4.57,3.45,OFF
1220,45.23,8600,161,3,2896,27.31,4082,101,4.55,3.50,25.00,1095.25,11.25,12.25,91,56,17.30,3.88,12.81,4.57,3.45,OFF
1221,45.264,8600,159,3,2896,27.31,4082,101,4.55,3.50,25.00,1095.25,11.25,12.25,91,56,17.30,3.88,12.81,4.57,3.45,OFF
1222,45.296,8484,160,3,2912,27.54,4082,101,4.55,3.52,25.00,1099.50,11.25,12.25,91,56,17.30,3.88,12.81,4.55,3.47,OFF
1223,45.342,8640,155,3,2912,27.54,4082,101,4.55,3.50,25.00,1095.25,11.25,12.25,91,56,17.30,3.88,12.42,4.57,3.47,OFF
1224,45.374,8640,156,3,2880,27.08,4082,101,4.55,3.52,25.00,1099.00,11.25,12.25,91,56,17.30,3.88,12.42,4.57,3.43,OFF
1225,45.411,8844,157,3,2912,27.54,4082,101,4.55,3.51,26.00,1098.25,11.25,12.25,91,56,17.30,3.88,12.61,4.57,3.47,OFF
1226,45.439,8844,158,3,2896,27.31,4082,101,4.55,3.51,26.00,1097.50,11.25,12.25,91,56,17.30,3.88,12.61,4.57,3.45,OFF
1227,45.467,9057,159,3,2896,27.31,4082,101,4.55,3.50,26.00,1094.50,11.25,12.25,91,56,17.30,3.88,12.61,4.57,3.45,OFF
1228,45.501,8802,160,3,2896,27.31,4082,101,4.55,3.50,26.00,1094.50,11.25,12.25,91,56,17.30,3.88,12.42,4.55,3.45,OFF
1229,45.531,8971,160,3,2896,27.31,4082,101,4.55,3.50,26.00,1094.25,11.25,12.25,91,56,17.30,3.88,12.42,4.55,3.45,OFF
1230,45.565,8971,161,3,2880,27.08,4082,101,4.55,3.50,26.00,1095.00,11.25,12.25,91,56,17.30,3.88,12.81,4.57,3.43,OFF
1231,45.608,9101,162,3,2863,26.83,4082,101,4.55,3.49,26.00,1091.25,11.25,12.25,91,56,17.30,3.88,12.81,4.57,3.41,OFF
1232,45.641,9014,163,3,2896,27.31,4082,101,4.55,3.49,26.00,1091.00,11.25,12.25,91,56,17.30,3.88,12.61,4.57,3.45,OFF
1233,45.689,8928,165,3,2880,27.08,4082,101,4.55,3.49,26.00,1091.50,11.25,12.25,91,56,15.98,3.04,12.61,4.55,3.43,OFF
1234,45.723,9282,166,3,2880,27.08,4082,101,4.55,3.49,27.00,1091.50,12.00,13.00,91,56,16.13,3.10,12.61,4.57,3.43,OFF
1235,45.759,9517,168,3,2863,26.83,4082,101,4.55,3.49,28.00,1092.25,16.00,17.00,91,56,17.30,3.84,12.61,4.57,3.41,OFF
1236,45.787,9375,169,3,2863,26.83,4082,101,4.55,3.09,24.00,967.50,13.75,17.00,91,56,17.30,3.84,12.61,4.55,3.41,OFF
1237,45.818,9469,170,3,2831,26.37,4082,101,4.55,3.27,26.00,1023.00,15.50,16.50,91,56,17.30,3.88,12.81,4.57,3.37,OFF
1238,45.864,9664,171,3,2863,26.83,4082,101,4.55,0.00,0.00,0.00,18.75,19.75,91,56,17.30,3.88,12.81,4.57,3.41,OFF
1239,45.898,8333,171,3,2766,25.43,4082,101,4.55,3.47,24.00,1085.75,11.50,12.50,91,56,17.30,3.88,12.71,4.57,3.29,OFF
1240,45.944,9191,165,3,2782,25.66,4082,101,4.55,3.42,26.00,1070.25,11.75,12.75,91,56,17.30,3.88,12.71,4.55,3.31,OFF
1241,45.976,9328,166,3,2766,25.43,4082,101,4.55,3.18,25.00,995.50,13.50,14.50,91,56,17.30,3.88,12.61,4.57,3.29,OFF
1242,46.025,9014,168,3,2798,25.89,4082,101,4.55,3.44,26.00,1076.00,11.50,12.50,92,56,17.30,3.88,12.61,4.57,3.33,OFF
1243,46.058,8971,168,3,2815,26.14,4082,101,4.55,0.00,0.00,0.00,-6.00,39.00,92,56,17.30,3.88,12.61,4.57,3.35,OFF
1244,46.094,8187,167,3,2782,25.66,4082,101,4.55,0.00,0.00,0.00,-6.00,39.00,92,56,17.30,3.88,12.61,4.55,3.31,OFF
1245,46.124,7911,170,4,2587,22.83,4082,101,4.55,0.00,0.00,0.00,-6.00,39.00,92,56,17.30,3.88,12.61,4.57,3.08,OFF
1246,46.155,8187,171,3,1335,4.67,4082,15,1.08,1.80,12.00,562.50,23.50,24.50,92,56,17.30,3.88,12.81,4.55,1.57,OFF
1247,46.216,7780,161,3,490,0,4082,15,1.08,0.64,4.00,199.25,44.00,45.00,92,56,17.30,3.88,13.48,4.55,0.55,OFF
1248,46.249,7500,157,3,344,0,4082,15,1.08,0.38,2.00,119.75,44.00,45.00,92,56,17.20,3.55,13.48,4.55,0.37,OFF
1249,46.298,7022,157,4,1368,5.15,4082,0,0.47,1.25,7.00,391.50,30.25,31.00,92,56,16.32,3.18,13.58,4.57,1.61,OFF
1250,46.33,7048,158,4,1644,9.15,4082,97,4.35,2.04,12.00,639.00,23.25,24.00,92,56,17.20,3.55,13.58,4.57,1.94,OFF
1251,46.378,6996,159,4,1807,11.52,4082,101,4.55,2.17,13.00,679.25,21.00,21.75,92,56,16.22,3.14,13.10,4.55,2.14,OFF
1252,46.408,6970,160,4,1856,12.23,4082,101,4.55,2.23,13.00,696.25,19.00,19.75,92,56,15.14,2.69,13.10,4.57,2.20,OFF
1253,46.442,7239,161,4,1953,13.63,4082,101,4.55,2.36,14.00,738.75,18.75,19.50,92,56,15.74,2.94,13.10,4.57,2.31,OFF
1254,46.473,7411,162,4,2067,15.29,4082,101,4.55,2.52,16.00,788.00,18.25,19.00,92,56,15.55,2.86,13.00,4.55,2.45,OFF
1255,46.504,7352,163,4,2148,16.46,4082,101,4.55,2.60,16.00,811.25,17.75,18.50,92,56,15.69,2.92,13.00,4.57,2.55,OFF
1256,46.538,7440,163,4,2262,18.12,4082,101,4.55,2.68,17.00,837.00,15.75,17.50,92,56,15.14,2.69,12.90,4.55,2.69,OFF
1257,46.584,7295,163,4,2392,20,4082,101,4.55,2.80,17.00,875.25,15.00,15.75,92,56,15.93,3.02,12.90,4.57,2.84,OFF
1258,46.663,7295,166,4,2587,22.83,4082,101,4.55,3.01,18.00,940.25,12.50,13.25,92,56,16.08,3.08,12.90,4.57,3.08,OFF
1259,46.697,7470,167,4,2652,23.77,4082,101,4.55,3.13,19.00,978.50,12.25,13.00,92,56,16.08,3.08,12.90,4.57,3.16,OFF
1260,46.748,7812,168,4,2717,24.71,4082,101,4.55,3.25,21.00,1016.75,12.25,13.00,92,56,16.87,3.41,12.61,4.55,3.24,OFF
1261,46.791,7684,170,4,2750,25.19,4082,101,4.55,3.34,21.00,1043.50,11.75,12.50,92,56,16.32,3.18,12.52,4.57,3.27,OFF
1262,46.826,7530,171,4,2798,25.89,4082,101,4.55,3.41,21.00,1065.25,11.50,12.25,92,56,16.87,3.41,12.52,4.55,3.33,OFF
1263,46.856,7411,171,4,2798,25.89,4082,101,4.55,3.42,21.00,1070.00,11.25,12.00,92,56,16.87,3.41,12.52,4.57,3.33,OFF
1264,46.887,7944,173,4,2831,26.37,4082,101,4.55,3.45,23.00,1078.50,11.50,12.25,92,56,16.58,3.29,12.81,4.57,3.37,OFF
1265,46.936,7944,173,4,2880,27.08,4082,101,4.55,3.49,23.00,1091.75,11.25,12.00,92,56,17.01,3.47,12.81,4.57,3.43,OFF
1266,46.971,7621,173,4,2880,27.08,4082,101,4.55,3.53,22.00,1102.25,10.75,11.50,92,56,17.20,3.55,12.81,4.57,3.43,OFF
1267,47,7978,175,4,2912,27.54,4082,101,4.55,3.52,23.00,1101.25,11.25,12.00,92,56,17.30,3.71,12.81,4.57,3.47,OFF
1268,47.032,7591,175,4,2912,27.54,4082,101,4.55,3.55,22.00,1108.50,10.75,11.50,92,56,17.30,3.73,12.81,4.55,3.47,OFF
1269,47.064,7530,175,4,2945,28.02,4082,101,4.55,3.57,22.00,1115.75,10.50,11.25,92,56,15.09,2.67,12.61,4.57,3.51,OFF
1270,47.136,7978,176,4,2961,28.25,4082,101,4.55,3.57,24.00,1116.00,11.00,11.75,92,56,14.71,2.51,12.52,4.57,3.53,OFF
1271,47.225,7911,178,4,2961,28.25,4082,101,4.55,3.58,24.00,1118.25,11.00,11.75,92,56,17.30,3.88,12.71,4.57,3.53,OFF
1272,47.26,7780,178,4,2961,28.25,4082,101,4.55,3.57,23.00,1117.75,11.00,11.75,92,56,17.30,3.88,12.71,4.57,3.53,OFF
1273,47.29,7780,178,4,2977,28.49,4082,101,4.55,3.57,23.00,1117.75,11.00,11.75,92,56,16.53,3.27,12.81,4.57,3.55,OFF
1274,47.323,7747,177,4,2961,28.25,4082,101,4.55,3.59,23.00,1123.75,10.50,11.25,92,56,16.82,3.39,12.81,4.55,3.53,OFF
1275,47.355,8012,178,4,2961,28.25,4082,101,4.55,3.58,24.00,1119.75,10.75,11.50,92,56,17.25,3.57,12.71,4.57,3.53,OFF
1276,47.386,7845,177,4,2977,28.49,4082,101,4.55,3.58,23.00,1120.50,10.75,11.50,92,56,17.30,3.84,12.71,4.57,3.55,OFF
1277,47.421,7780,178,4,2993,28.72,4082,101,4.55,3.59,23.00,1122.75,10.75,11.50,92,56,17.30,3.84,12.71,4.57,3.57,OFF
1278,47.466,7845,180,4,2961,28.25,4082,101,4.55,3.59,23.00,1121.75,10.75,11.50,92,56,17.30,3.88,12.81,4.57,3.53,OFF
1279,47.512,7780,181,4,2961,28.25,4082,101,4.55,3.57,23.00,1117.50,11.00,11.50,92,57,17.30,3.88,12.81,4.57,3.53,OFF
1280,47.558,8259,181,4,2961,28.25,4082,101,4.55,3.56,25.00,1111.25,11.00,11.50,92,57,17.30,3.88,12.61,4.57,3.53,OFF
1281,47.607,8152,183,4,2961,28.25,4082,101,4.55,3.56,24.00,1113.00,11.00,11.50,92,57,17.30,3.88,12.90,4.57,3.53,OFF
1282,47.645,8223,187,4,2961,28.25,4082,101,4.55,3.57,24.00,1116.25,11.00,11.50,92,57,17.30,3.80,12.90,4.57,3.53,OFF
1283,47.688,7845,185,4,2961,28.25,4082,101,4.55,3.58,23.00,1119.75,11.00,11.50,92,57,17.30,3.80,12.52,4.57,3.53,OFF
1284,47.724,8152,186,4,2961,28.25,4082,101,4.55,3.56,24.00,1113.00,11.00,11.50,92,57,17.30,3.71,12.52,4.57,3.53,OFF
1285,47.753,8152,186,4,2961,28.25,4082,101,4.55,3.56,24.00,1112.75,11.00,11.50,92,57,17.30,3.71,12.52,4.57,3.53,OFF
1286,47.782,8187,186,4,2961,28.25,4082,101,4.55,3.56,24.00,1113.25,11.00,11.50,92,57,16.96,3.45,13.00,4.57,3.53,OFF
1287,47.817,8187,186,4,2977,28.49,4082,101,4.55,3.56,24.00,1111.75,11.00,11.50,92,57,16.77,3.37,13.00,4.57,3.55,OFF
1288,47.863,8081,187,4,2961,28.25,4082,101,4.55,3.56,24.00,1113.50,11.00,11.50,92,57,17.30,3.88,12.90,4.55,3.53,OFF
1289,47.899,8296,187,4,2961,28.25,4082,101,4.55,3.54,24.00,1106.00,11.00,11.50,92,57,17.30,3.88,12.90,4.57,3.53,OFF
1290,47.928,8445,187,4,2961,28.25,4082,101,4.55,3.54,25.00,1107.75,11.00,11.50,92,57,17.30,3.88,12.81,4.57,3.53,OFF
1291,47.961,8047,187,4,2945,28.02,4082,101,4.55,3.55,24.00,1109.75,11.00,11.50,92,57,17.30,3.88,12.81,4.57,3.51,OFF
1292,47.994,8152,186,4,2945,28.02,4082,101,4.55,3.55,24.00,1108.50,11.25,11.50,92,57,17.30,3.88,12.81,4.55,3.51,OFF
1293,48.038,8484,187,4,2945,28.02,4082,101,4.55,3.52,25.00,1100.75,11.25,11.75,92,57,17.30,3.88,12.61,4.57,3.51,OFF
1294,48.089,8152,189,4,2928,27.77,4082,101,4.55,3.52,24.00,1099.50,11.25,11.75,92,57,17.30,3.88,12.61,4.57,3.49,OFF
1295,48.125,8012,189,4,2928,27.77,4082,101,4.55,3.52,24.00,1099.00,11.00,11.50,92,57,17.30,3.88,12.42,4.55,3.49,OFF
1296,48.17,8561,190,4,2928,27.77,4082,101,4.55,3.52,25.00,1101.50,11.25,11.75,92,57,17.30,3.88,12.42,4.57,3.49,OFF
1297,48.201,8187,190,4,2928,27.77,4082,101,4.55,3.55,24.00,1109.00,11.00,11.50,93,57,17.30,3.88,12.52,4.55,3.49,OFF
1298,48.23,8600,191,4,2928,27.77,4082,101,4.55,3.53,25.00,1104.00,11.00,11.50,93,57,17.30,3.88,12.52,4.57,3.49,OFF
1299,48.266,8152,192,4,2945,28.02,4082,101,4.55,3.55,24.00,1109.25,11.00,11.50,93,57,17.30,3.88,12.42,4.57,3.51,OFF
1300,48.31,8408,193,4,2945,28.02,4082,101,4.55,3.53,25.00,1104.00,11.00,11.25,93,57,17.30,3.88,12.42,4.55,3.51,OFF
1301,48.359,8296,193,4,2945,28.02,4082,101,4.55,3.53,24.00,1104.50,11.00,11.25,93,57,17.30,3.88,12.42,4.57,3.51,OFF
1302,48.406,8408,192,4,2945,28.02,4082,101,4.55,3.52,25.00,1101.75,11.00,11.25,93,57,17.30,3.88,12.42,4.57,3.51,OFF
1303,48.443,8445,193,4,2945,28.02,4082,101,4.55,3.54,25.00,1105.50,11.00,11.25,93,57,17.30,3.88,12.42,4.55,3.51,OFF
1304,48.487,8296,192,4,2945,28.02,4082,101,4.55,3.54,24.00,1105.50,11.00,11.25,93,57,17.30,3.88,12.42,4.57,3.51,OFF
1305,48.534,8484,192,4,2928,27.77,4082,101,4.55,3.51,25.00,1098.50,11.25,11.50,93,57,17.30,3.88,12.52,4.57,3.49,OFF
1306,48.57,8296,191,4,2928,27.77,4082,101,4.55,3.52,24.00,1099.00,11.25,11.50,93,57,17.30,3.88,12.52,4.57,3.49,OFF
1307,48.6,8484,192,4,2928,27.77,4082,101,4.55,3.52,25.00,1101.00,11.25,11.50,93,57,17.30,3.88,12.61,4.57,3.49,OFF
1308,48.648,8720,192,4,2928,27.77,4082,101,4.55,3.51,26.00,1097.00,11.25,11.50,93,57,17.30,3.88,12.61,4.55,3.49,OFF
1309,48.682,8561,193,4,2928,27.77,4082,101,4.55,3.51,25.00,1096.75,11.25,11.50,93,57,17.30,3.88,12.52,4.55,3.49,OFF
1310,48.712,8408,194,4,2928,27.77,4082,101,4.55,3.52,25.00,1099.75,11.25,11.50,93,57,17.30,3.88,12.52,4.57,3.49,OFF
1311,48.742,8640,194,4,2928,27.77,4082,101,4.55,3.51,25.00,1097.75,11.25,11.50,93,57,17.30,3.88,12.52,4.57,3.49,OFF
1312,48.778,8445,196,4,2928,27.77,4082,101,4.55,3.52,25.00,1099.00,11.25,11.50,93,57,17.30,3.88,12.90,4.55,3.49,OFF
1313,48.826,8761,198,4,2912,27.54,4082,101,4.55,3.49,25.00,1092.50,11.25,11.50,93,57,17.30,3.88,12.90,4.57,3.47,OFF
1314,48.858,8886,198,4,2912,27.54,4082,101,4.55,3.49,26.00,1092.25,11.25,11.50,93,57,17.30,3.88,12.42,4.57,3.47,OFF
1315,48.889,8408,198,4,2912,27.54,4082,101,4.55,3.50,25.00,1094.00,11.25,11.50,93,57,17.30,3.88,12.42,4.57,3.47,OFF
1316,48.918,8408,198,4,2896,27.31,4082,101,4.55,3.50,25.00,1095.75,11.25,11.50,93,57,17.30,3.88,12.42,4.57,3.45,OFF
1317,48.968,8720,198,4,2896,27.31,4082,101,4.55,3.49,25.00,1091.00,11.25,11.50,93,57,17.30,3.88,12.42,4.55,3.45,OFF
1318,49,8802,199,4,2896,27.31,4082,101,4.55,3.50,26.00,1094.00,11.25,11.50,93,57,17.30,3.88,12.81,4.57,3.45,OFF
1319,49.033,8522,198,4,2896,27.31,4082,101,4.55,3.50,25.00,1094.50,11.25,11.50,93,57,17.30,3.88,12.81,4.57,3.45,OFF
1320,49.064,8333,197,4,2912,27.54,4082,101,4.55,3.49,24.00,1091.00,11.25,11.50,93,57,17.30,3.88,12.81,4.57,3.47,OFF
1321,49.094,8561,197,4,2896,27.31,4082,101,4.55,3.50,25.00,1095.75,11.25,11.50,93,57,17.30,3.88,12.71,4.55,3.45,OFF
1322,49.143,8761,198,4,2912,27.54,4082,101,4.55,3.50,26.00,1093.25,11.25,11.25,93,58,17.30,3.88,12.71,4.57,3.47,OFF
1323,49.177,8680,198,4,2896,27.31,4082,101,4.55,3.49,25.00,1090.25,11.25,11.25,93,58,17.30,3.88,12.52,4.55,3.45,OFF
1324,49.24,8561,199,4,2912,27.54,4082,101,4.55,3.49,25.00,1090.75,11.25,11.25,93,58,17.30,3.88,12.52,4.57,3.47,OFF
1325,49.286,8802,199,4,2896,27.31,4082,101,4.55,3.48,26.00,1087.50,11.25,11.25,93,58,17.30,3.88,12.33,4.57,3.45,OFF
1326,49.323,8600,200,4,2880,27.08,4082,101,4.55,3.49,25.00,1091.75,11.25,11.25,93,58,17.30,3.88,12.52,4.57,3.43,OFF
1327,49.367,8844,200,4,2912,27.54,4082,101,4.55,3.50,26.00,1094.50,11.25,11.25,93,58,17.30,3.88,12.52,4.57,3.47,OFF
1328,49.413,8680,201,4,2896,27.31,4082,101,4.55,3.49,25.00,1090.75,11.25,11.25,93,58,17.30,3.88,12.52,4.55,3.45,OFF
1329,49.445,9282,200,4,2912,27.54,4082,101,4.55,3.43,27.00,1071.25,12.00,12.00,93,58,17.30,3.88,12.42,4.57,3.47,OFF
1330,49.491,8802,201,4,2912,27.54,4082,101,4.55,3.50,26.00,1094.00,11.25,11.25,93,58,17.30,3.88,12.42,4.57,3.47,OFF
1331,49.524,8928,200,4,2912,27.54,4082,101,4.55,3.50,26.00,1093.50,11.25,11.25,93,58,17.30,3.88,12.81,4.57,3.47,OFF
1332,49.557,8971,202,4,2912,27.54,4082,101,4.55,3.49,26.00,1092.25,11.25,11.25,93,58,17.30,3.88,12.81,4.57,3.47,OFF
1333,49.602,8761,201,4,2912,27.54,4082,101,4.55,3.50,26.00,1093.00,11.25,11.25,93,58,17.30,3.88,12.52,4.57,3.47,OFF
1334,49.635,8802,202,4,2912,27.54,4082,101,4.55,0.00,0.00,0.00,-6.00,39.00,93,58,17.30,3.88,12.52,4.57,3.47,OFF
1335,49.666,8802,201,4,2928,27.77,4082,101,4.55,0.00,0.00,0.00,-6.00,39.00,93,58,17.30,3.88,13.10,4.55,3.49,OFF
1336,49.698,8116,200,4,2863,26.83,4082,101,4.55,0.00,0.00,0.00,-6.00,39.00,93,58,17.30,3.88,13.10,4.55,3.41,OFF
1337,49.735,8445,197,4,2685,24.25,4082,101,4.55,0.00,0.00,0.00,-6.00,39.00,93,58,17.30,3.88,13.19,4.55,3.20,OFF
1338,49.781,8802,196,4,1677,9.63,4082,101,4.55,0.00,0.00,0.00,-6.00,39.00,93,58,17.30,3.88,13.19,4.55,1.98,OFF
1339,49.829,8333,198,4,539,0,4082,0,0.47,0.62,4.00,193.25,41.75,41.75,93,58,17.30,3.88,13.48,4.57,0.61,OFF
1340,49.88,7978,198,4,295,0,4082,0,0.47,0.37,2.00,116.25,44.00,44.00,93,58,17.30,3.88,13.48,4.55,0.31,OFF
1341,49.908,8333,198,4,246,0,4082,0,0.47,0.34,2.00,105.25,44.00,44.00,93,58,17.30,3.88,13.67,4.55,0.25,OFF
