Tune Datalog export of DL
Tune file: Race map for Sunday - TPS disabled4.bin
Total Frames: 7976
Duration :00:04:59.547
Frame,Duration,RPM,VSS(kmh),Gear,MAP(mBar),Boost(psi),PA(mBar),TPS(%),TPS Voltage(v),INJ Duration(ms),INJ Duty(%),Fuel Value,IGN Table(degrees),IGN Final(degrees),ECT(C),IAT(C),A/F Ratio,D14(v),BAT Voltage(v),ELD Voltage(v),MAP Voltage(v),MIL
40,1.624,1780,0,0,311,0,4082,0,0.47,0.41,1.00,129.50,24.25,24.75,88,55,15.19,2.71,13.87,4.55,0.33,OFF
41,1.669,1775,0,0,311,0,4082,0,0.47,0.41,1.00,129.75,24.00,24.75,88,55,16.13,3.10,13.77,4.57,0.33,OFF
42,1.699,1785,0,0,311,0,4082,0,0.47,0.41,1.00,129.75,24.25,25.00,88,55,15.98,3.04,13.77,4.55,0.33,OFF
43,1.743,1780,0,0,311,0,4082,0,0.47,0.41,1.00,129.75,24.00,24.75,88,55,16.03,3.06,13.96,4.55,0.33,OFF
44,1.777,1785,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.25,25.00,88,55,15.14,2.69,13.96,4.55,0.33,OFF
45,1.807,1790,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.25,25.00,88,55,15.84,2.98,13.77,4.55,0.33,OFF
46,1.837,1799,0,0,311,0,4082,0,0.47,0.41,1.00,129.75,24.50,25.25,88,55,15.55,2.86,13.77,4.57,0.33,OFF
47,1.867,1785,0,0,311,0,4082,0,0.47,0.41,1.00,129.75,24.25,25.00,88,55,15.36,2.78,13.77,4.57,0.33,OFF
48,1.911,1790,0,0,311,0,4082,0,0.47,0.41,1.00,129.50,24.25,25.00,88,55,15.41,2.80,13.87,4.55,0.33,OFF
49,1.943,1794,0,0,311,0,4082,0,0.47,0.41,1.00,129.50,24.25,25.00,88,55,15.98,3.04,13.87,4.55,0.33,OFF
50,1.979,1811,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.50,25.25,88,55,16.22,3.14,13.96,4.55,0.33,OFF
51,2.007,1811,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.50,25.25,88,55,15.89,3.00,13.96,4.57,0.33,OFF
52,2.039,1813,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.75,25.50,88,55,15.89,3.00,14.06,4.57,0.33,OFF
53,2.073,1802,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,24.50,25.25,88,55,16.13,3.10,14.06,4.57,0.33,OFF
54,2.104,1806,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,24.50,25.25,88,55,15.69,2.92,14.06,4.57,0.33,OFF
55,2.153,1811,0,0,311,0,4082,0,0.47,0.41,1.00,129.50,24.50,25.25,88,55,15.31,2.76,13.87,4.57,0.33,OFF
56,2.185,1822,0,0,311,0,4082,0,0.47,0.41,1.00,129.50,24.75,25.50,88,55,15.29,2.75,13.87,4.57,0.33,OFF
57,2.22,1834,0,0,311,0,4082,0,0.47,0.41,1.00,128.75,25.00,25.75,88,55,16.32,3.18,14.16,4.55,0.33,OFF
